iter	Passed	Remaining
0	1	105
1	1	89
2	2	83
3	3	76
4	3	74
5	4	72
6	5	71
7	6	70
8	6	69
9	7	71
10	8	71
11	10	74
12	11	75
13	12	74
14	13	75
15	14	76
16	15	75
17	16	74
18	17	72
19	17	71
20	18	69
21	19	68
22	19	66
23	20	65
24	21	64
25	22	63
26	22	62
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
